1	Chris Henderson (M)	Colorado Rapids
2	Jim Rooney (M)	New England Revolution
3	Lazo Alavanja (M)	D.C. United
4	Eric Quill (M)	Kansas City Wizards
5	Josh Keller (M)	Dallas Burn
6	#3 pick, 2002 MLS SuperDraft	MetroStars
7	Brian Dunseth (D)	Columbus Crew
8	#10 pick, 2002 MLS SuperDraft	Chicago Fire
9	Eric Denton (D)	Columbus Crew
10	Pass	San Jose Earthquakes
11	Kyle Beckerman (M)	Colorado Rapids
12	Alex Pineda Chacon (M)	New England Revolution
13	pass	D.C. United
14	Preki (M)	Kansas City Wizards
15	Jeff Cassar (GK)	Dallas Burn
16	pass	MetroStars
17	pass	Columbus Crew
18	pass	Chicago Fire
19	pass	Los Angeles Galaxy
20	pass	San Jose Earthquakes
21	pass	Colorado Rapids
22	Shaker Asad (M)	New England Revolution
23	pass	D.C. United
24	pass	Kansas City Wizards
25	pass	Dallas Burn
26	pass	MetroStars
27	pass	Columbus Crew
28	pass	Chicago Fire
29	pass	Los Angeles Galaxy
30	pass	San Jose Earthquakes
