1	Danny Pena (D)	Chicago Fire
2	David Vaudreuil (D/M)	Miami Fusion
3	Kevin Hartman (GK)	Chicago Fire
4	John Maessner (M)	Miami Fusion
5	Manny Lagos (M)	Chicago Fire
6	Kris Kelderman (D/M)	Miami Fusion
7	Jason Farrell (M)	Chicago Fire
8	Joey Martinez (D)	Miami Fusion
9	Jorge Salcedo (M)	Chicago Fire
10	Jeff Cassar (GK)	Miami Fusion
11	Zach Thornton (GK)	Chicago Fire
12	Nelson Vargas (M)	Miami Fusion
13	Francis Okaroh (D)	Chicago Fire
14	Cle Kooiman (D)	Miami Fusion
15	Diego Gutierrez (M)	Chicago Fire
16	Ramiro Corrales (D)	Miami Fusion
17	Andrew Lewis (D)	Chicago Fire
18	Matt Kmosko (D)	Miami Fusion
19	Brian Bates (D)	Chicago Fire
20	Scott Budnick (GK)	Miami Fusion
21	A.J. Wood (F)	Chicago Fire
22	Wade Webber (D)	Miami Fusion
23	Steve Patterson (F)	Chicago Fire
24	Bryan Taylor (F)	Miami Fusion
